cohort,id,vwrec,PC1_pre,PC1_post,PC1_delta,structure
1,210,14,1.1673556802582694,1.8687149302258104,0.701359249967541,Hippocampus
1,213,12,2.1686079420212616,1.3998805127986933,-0.7687274292225683,Hippocampus
1,215,13,3.1296721607032767,4.87414130806791,1.744469147364633,Hippocampus
1,216,15,-1.0215027156138352,0.16687263167110103,1.1883753472849363,Hippocampus
1,221,15,1.0392078740746526,0.19773111079324057,-0.8414767632814121,Hippocampus
1,223,11,1.6805082843908936,2.126194364983053,0.4456860805921594,Hippocampus
1,225,14,2.6459940556096506,2.8123952997016666,0.16640124409201595,Hippocampus
1,227,15,-1.4749278971982056,-0.9432906147136368,0.5316372824845688,Hippocampus
1,229,12,3.723253454101567,3.580576338919455,-0.14267711518211224,Hippocampus
1,234,10,-3.402555067127717,-2.9053342963561133,0.49722077077160387,Hippocampus
1,235,11,-1.2946570167853517,-0.8551112548689671,0.4395457619163846,Hippocampus
1,236,12,1.636239169000245,1.6632145793381319,0.026975410337886974,Hippocampus
1,237,15,1.6715724621453971,0.8785816842862241,-0.792990777859173,Hippocampus
1,238,11,-0.17383637958699386,0.942146750095622,1.115983129682616,Hippocampus
1,239,13,-0.40146504098626334,0.42347323329641895,0.8249382742826823,Hippocampus
1,241,15,1.2911927695694303,0.5787428199211617,-0.7124499496482686,Hippocampus
1,243,11,2.7265005444382795,3.7078126768545085,0.981312132416229,Hippocampus
1,246,14,-2.381727130827081,-2.0269118459617532,0.35481528486532765,Hippocampus
1,248,15,-0.24318296899445266,0.5362717740910702,0.7794547430855229,Hippocampus
1,249,11,1.381422862868018,1.2719445790292978,-0.10947828383872027,Hippocampus
1,250,13,-2.08088419263631,-1.2694470197546401,0.81143717288167,Hippocampus
1,252,15,3.3352725596797366,2.9359357193390614,-0.3993368403406752,Hippocampus
1,12,12,4.1542131688144135,5.105269662619018,0.9510564938046047,Thalamus
1,19,15,-3.084493346187728,-3.1537176504754654,-0.0692243042877374,Thalamus
1,20,12,0.34855198739413396,-0.05852755897548219,-0.40707954636961613,Thalamus
1,30,13,1.143304516471539,-0.021571845363882645,-1.1648763618354216,Thalamus
1,32,14,-4.735344903173184,-4.484995344612957,0.25034955856022645,Thalamus
1,41,11,0.5629660353628746,0.4640295700095089,-0.0989364653533657,Thalamus
1,43,13,4.664816548479919,4.696258513563625,0.03144196508370545,Thalamus
1,44,15,-0.45098056171862305,-0.6182467038939072,-0.16726614217528418,Thalamus
1,45,9,2.6051107289843163,2.2098077887103376,-0.3953029402739787,Thalamus
1,47,13,-7.740428735790849,-7.996609990525926,-0.25618125473507636,Thalamus
1,48,12,-3.239679803249662,-3.5353915305900703,-0.2957117273404082,Thalamus
1,50,12,-8.459467968242794,-7.806958271802985,0.6525096964398092,Thalamus
1,60,9,8.665966660888696,7.7252696284366165,-0.9406970324520794,Thalamus
1,66,10,-0.5758955079102602,-0.6511770734830608,-0.07528156557280052,Thalamus
1,68,14,-0.9381404877081931,-0.5297425637818468,0.40839792392634633,Thalamus
1,69,14,-4.796497238898215,-4.052439406906316,0.7440578319918991,Thalamus
1,80,13,-6.8659624725931865,-7.156075637332737,-0.29011316473955073,Thalamus
1,83,14,1.0247664962789609,1.4808890750611379,0.456122578782177,Thalamus
1,84,15,-5.204304098022787,-5.168187225844383,0.03611687217840398,Thalamus
1,85,11,-6.363001395474192,-5.810853319983479,0.5521480754907131,Thalamus
1,89,14,-0.04705697121004133,0.6098442245528412,0.6569011957628825,Thalamus
1,91,14,2.85381243699992,3.1429790301950313,0.2891665931951115,Thalamus
1,95,12,-5.0334842199895276,-4.431063915263793,0.6024203047257348,Thalamus
1,96,14,-3.252656053210948,-2.420164763283251,0.832491289927697,Thalamus
1,97,14,0.6759123059151072,0.0471579292027855,-0.6287543767123217,Thalamus
1,100,14,-1.6757270553402992,-2.6366099160382577,-0.9608828606979585,Thalamus
1,103,12,-0.8569152396631371,-0.9993254660909994,-0.14241022642786227,Thalamus
1,106,15,4.078214572837561,4.129827385113759,0.05161281227619785,Thalamus
1,107,14,0.4232271755372189,1.211506942002766,0.7882797664655471,Thalamus
1,109,13,1.0726939326877791,0.7547971495683136,-0.31789678311946556,Thalamus
1,115,15,3.039884439405167,1.544964619326714,-1.4949198200784533,Thalamus
1,117,15,3.618330681018452,2.828415469989873,-0.7899152110285792,Thalamus
1,121,15,1.0931927079073918,1.4770751467167096,0.3838824388093178,Thalamus
