roi,feature_base,feature_name,n,mean_pre,mean_post,mean_delta,median_delta,sd_delta,t_stat,p_ttest,w_stat,p_wilcoxon,cohens_d_paired,rank_biserial,q_ttest_fdr,q_wilcoxon_fdr,abs_mean_delta
Right_Hippocampus,Right_Hippocampus_original_shape_Maximum3DDiameter,original_shape_Maximum3DDiameter,96,46.71623899535975,46.79685593594191,0.08061694058215603,-0.027536347007501405,0.643753547800565,1.2269935892406358,0.22285711777218153,2026.0,0.26976588191292095,0.12522950880440223,0.1297250859106529,0.7511187893877082,0.6809530898509771,0.08061694058215603
Right_Thalamus,Right_Thalamus_original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RobustMeanAbsoluteDeviation,96,4.591513663865804,4.635514887166996,0.04400122330119156,0.049939718170747716,0.421063973055777,1.023887599444691,0.30848854466521664,1958.0,0.17634492665091273,0.10450009052511092,0.15893470790378006,0.7511187893877082,0.6809530898509771,0.04400122330119156
Right_Hippocampus,Right_Hippocampus_original_shape_LeastAxisLength,original_shape_LeastAxisLength,96,9.155054017775624,9.17544009938701,0.020386081611385654,0.02927565852972247,0.16193406089005294,1.2334773185620096,0.22044091777126118,2031.0,0.27777538576379457,0.12589125165722254,0.12757731958762886,0.7511187893877082,0.6809530898509771,0.020386081611385654
Right_Thalamus,Right_Thalamus_original_firstorder_Uniformity,original_firstorder_Uniformity,96,0.5784486615340841,0.5704491243448703,-0.007999537189213902,-0.007282843825422991,0.05909708567787058,-1.3262775358365577,0.18792753766976136,1992.0,0.21950387061187182,-0.13536263417147487,0.14432989690721654,0.7511187893877082,0.6809530898509771,0.007999537189213902
Right_Thalamus,Right_Thalamus_original_shape_Elongation,original_shape_Elongation,96,0.6041300956343978,0.602910062528048,-0.0012200331063498282,-0.0012849859641254624,0.010956379858574889,-1.0910386892148207,0.2780153217356245,1989.0,0.21541536412642315,-0.11135366992547113,0.14561855670103097,0.7511187893877082,0.6809530898509771,0.0012200331063498282
Right_Hippocampus,Right_Hippocampus_original_shape_Elongation,original_shape_Elongation,96,0.4896685077707237,0.4907268714641051,0.0010583636933813746,0.0008893624016669821,0.010786268678585113,0.9613893695115563,0.33879706585651814,1999.0,0.2292596113731301,0.098121391643306,0.14132302405498287,0.7511187893877082,0.6809530898509771,0.0010583636933813746
Left_Thalamus,Left_Thalamus_original_shape_Flatness,original_shape_Flatness,96,0.4493927747912168,0.44838892298277117,-0.001003851808445598,-0.0011531439646470243,0.008053837530594377,-1.221243760491089,0.22501588443300988,2010.0,0.24520669191797073,-0.12464266936503664,0.13659793814432986,0.7511187893877082,0.6809530898509771,0.001003851808445598
Left_Thalamus,Left_Thalamus_original_shape_Elongation,original_shape_Elongation,96,0.6032372145084994,0.6022379242352655,-0.0009992902732338914,-0.001305097669849986,0.008467766591601249,-1.156267711383173,0.25047115898028977,2027.0,0.2713549735029761,-0.11801107912268591,0.1292955326460481,0.7511187893877082,0.6809530898509771,0.0009992902732338914
Right_Hippocampus,Right_Hippocampus_original_firstorder_RootMeanSquared,original_firstorder_RootMeanSquared,96,87.71474698995776,87.55237872203286,-0.16236826792489087,-0.3406420924268332,1.828981258261808,-0.8698162543523666,0.38659327435221014,2040.0,0.2925970307953417,-0.08877524971425858,0.12371134020618557,0.7647169168558787,0.6809530898509771,0.16236826792489087
Right_Thalamus,Right_Thalamus_original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterColumn,96,37.176842934277836,37.253068906354905,0.07622597207706001,0.027337298255559972,0.8824683237928017,0.8463294679357802,0.3994958112007677,1687.0,0.2594887095820667,0.08637813961349328,0.13840653728294183,0.7647169168558787,0.6809530898509771,0.07622597207706001
Left_Thalamus,Left_Thalamus_original_shape_Maximum2DDiameterSlice,original_shape_Maximum2DDiameterSlice,96,25.828597320529592,25.76041282328475,-0.06818449724484021,0.0,0.7924975887011629,-0.8429917213592595,0.4013505409432915,1483.0,0.23782123957315704,-0.08603748228002672,0.14916810097532984,0.7647169168558787,0.6809530898509771,0.06818449724484021
Right_Thalamus,Right_Thalamus_original_firstorder_MeanAbsoluteDeviation,original_firstorder_MeanAbsoluteDeviation,96,7.334703760681638,7.382893746910327,0.048189986228688336,0.06191977792604009,0.5259030080765869,0.897814807363448,0.3715540615835723,2039.0,0.2909244379723488,0.09163284006481755,0.12414089347079038,0.7647169168558787,0.6809530898509771,0.048189986228688336
Left_Hippocampus,Left_Hippocampus_original_firstorder_Skewness,original_firstorder_Skewness,96,1.5994848221375204,1.5638295803091797,-0.035655241828340345,-0.002789993995780393,0.5640097900097621,-0.61940165353131,0.5371344662326045,2037.0,0.2875985774573103,-0.06321741654116182,0.125,0.8184906152115878,0.6809530898509771,0.035655241828340345
Right_Hippocampus,Right_Hippocampus_original_firstorder_10Percentile,original_firstorder_10Percentile,96,72.39583333333333,72.01354166666667,-0.38229166666666653,0.0,3.1238638285460274,-1.199052926308037,0.2334896456738214,1452.0,0.32253638202158885,-0.1223778268352371,0.12556458897922318,0.7511187893877082,0.6832319158617906,0.38229166666666653
Left_Thalamus,Left_Thalamus_original_firstorder_10Percentile,original_firstorder_10Percentile,96,82.940625,82.78125,-0.1593750000000007,0.0,1.639806029928379,-0.9522770879751467,0.3433730935278614,1042.5,0.31302224648507393,-0.09719137330343983,0.1366459627329193,0.7511187893877082,0.6832319158617906,0.1593750000000007
Right_Hippocampus,Right_Hippocampus_original_firstorder_Uniformity,original_firstorder_Uniformity,96,0.579807440862792,0.5703929036690002,-0.009414537193791794,-0.010004058771299507,0.07413997734608116,-1.2441769266584572,0.21649547993574633,2059.0,0.32560270990288454,-0.12698327583572455,0.11554982817869419,0.7511187893877082,0.6832319158617906,0.009414537193791794
Right_Thalamus,Right_Thalamus_original_firstorder_90Percentile,original_firstorder_90Percentile,96,103.55104166666668,103.6875,0.1364583333333275,0.0,1.6965053735417783,0.788098388676379,0.4326012583983452,1137.5,0.30660351132540675,0.0804349549736142,0.1343226788432268,0.7647169168558787,0.6832319158617906,0.1364583333333275
Left_Thalamus,Left_Thalamus_original_firstorder_Skewness,original_firstorder_Skewness,96,0.5971212636845511,0.5315988621409043,-0.06552240154364669,-0.0751415539185915,0.7582469504967077,-0.8466711294970393,0.39930625157419486,2058.0,0.32380742376057736,-0.08641301030056855,0.115979381443299,0.7647169168558787,0.6832319158617906,0.06552240154364669
Left_Hippocampus,Left_Hippocampus_original_shape_LeastAxisLength,original_shape_LeastAxisLength,96,9.189195318493892,9.174751960613989,-0.014443357879904204,-0.02218964997586248,0.18091437345665976,-0.782223243011642,0.43602875575398103,2046.0,0.30276801021110056,-0.07983532543015044,0.12113402061855671,0.7647169168558787,0.6832319158617906,0.014443357879904204
Left_Hippocampus,Left_Hippocampus_original_firstorder_Entropy,original_firstorder_Entropy,96,1.275718577729102,1.3001915912144069,0.024473013485304996,0.01297706591987946,0.17223189091602342,1.3922252188818518,0.1671047019434604,2067.0,0.3401974850993411,0.14209339138729837,0.11211340206185572,0.7242519289428777,0.702343195043801,0.024473013485304996
Right_Hippocampus,Right_Hippocampus_original_shape_Sphericity,original_shape_Sphericity,96,0.5264909301632188,0.5258556883272557,-0.000635241835963125,-0.0004995784922170454,0.0064949782321834385,-0.9582901163044157,0.34034897496623884,2075.0,0.3552049050402125,-0.09780507543742355,0.10867697594501713,0.7511187893877082,0.7216861562721778,0.000635241835963125
