ROI,n_subjects,n_rows,beta_time,p_time,beta_dose,p_dose,beta_time_dose,p_time_dose,q_time_dose_fdr
cerebellum.CerebNet_Cbm_Left_VI,95,190,42.86353196924606,0.28666988330721777,29.603256593839667,0.7278479159456849,-76.08885663601559,0.076763983515978,0.4772717235993415
aseg+DKT_ctx-lh-transversetemporal,95,190,-16.5702406562787,0.005745415555450887,8.353332871812531,0.6510482405455533,-11.151347770396082,0.08197599285719386,0.4884402907741134
aseg+DKT_Left-Caudate,95,190,0.5729532684232904,0.9403087262603722,-37.10730557259239,0.3176307938478802,13.915409881186767,0.0887563303596785,0.49065868552055103
aseg+DKT_ctx-lh-lateraloccipital,95,190,-94.25627623026791,0.025490762868528333,7.836719973944095,0.9538640094737971,-76.11437831596729,0.09140168487949596,0.49065868552055103
aseg+DKT_ctx-rh-inferiortemporal,95,190,12.381183105522162,0.7700425908416059,105.16477164692131,0.42189845190101805,-76.1144444329783,0.09264184971367047,0.49065868552055103
aseg+DKT_WM-hypointensities,95,190,8.329303226586806,0.06382322281346614,-18.492989993640315,0.5067827373721696,-7.739247369678384,0.10701135514525872,0.5465222780632856
cerebellum.CerebNet_Cbm_Right_CrusI,95,190,17.955328212710945,0.7351871280354998,116.45946405243268,0.4729116519385056,-89.7099879447582,0.11379657605856495,0.5559235776818375
hypothalamus.HypVINN_R-Lat-Hypothalamus,95,190,1.093487969575841,0.3946412576379428,0.03845586405430436,0.9789532840382316,-2.135474408782879,0.11982868771034731,0.5559235776818375
aseg+DKT_ctx-rh-parsopercularis,95,190,-28.92441456814992,0.14148684490885766,112.55645487820134,0.11098198812961202,-32.64022702713516,0.12051490145550323,0.5559235776818375
aseg+DKT_Right-Cerebellum-White-Matter,95,190,-4.709201200222024,0.9217617010872536,93.01577305903292,0.3952617317146133,-77.96737256272257,0.1281135824233682,0.5725075714544267
aseg+DKT_ctx-lh-medialorbitofrontal,95,190,-17.43957064042836,0.23523957906791493,58.04394448882753,0.10226594769386968,-23.27499668886413,0.13824935329964128,0.5779813142958276
aseg+DKT_ctx-lh-parahippocampal,95,190,7.556465744423378,0.45187311209208747,-38.249043042409156,0.0466983141135393,15.4418070321908,0.15028629073235777,0.5779813142958276
aseg+DKT_ctx-rh-middletemporal,95,190,-106.00472268772447,0.003506274394301865,127.86254404565143,0.30172760610275784,-55.12176405702661,0.15543030655056053,0.5779813142958276
aseg+DKT_ctx-rh-superiorparietal,95,190,-50.284221903685,0.15635207808263743,20.373837204992373,0.8391148799553364,53.721044370295196,0.15647173885095278,0.5779813142958276
hypothalamus.HypVINN_L-Fornix,95,190,0.9665470402570336,0.718994145586834,-4.13968595895998,0.2691626643648911,4.062652444512198,0.15703207349256365,0.5779813142958276
aseg+DKT_Left-Cerebellum-White-Matter,95,190,31.405013818336986,0.5242743243359028,78.41021490214054,0.4846629816936081,-71.8256462144573,0.17296118067874633,0.5779813142958276
aseg+DKT_ctx-lh-caudalmiddlefrontal,95,190,-14.355449588489693,0.5822677406389893,-66.16394684835713,0.44075425517113664,37.34009508461317,0.18060070523409866,0.5779813142958276
cerebellum.CerebNet_Cbm_Vermis_VI,95,190,-17.789240957569618,0.24213878410010148,3.1498869986377542,0.909818114050406,21.714779203768288,0.18155193281268867,0.5779813142958276
cerebellum.CerebNet_Cbm_Left_CrusII,95,190,-50.12350553322798,0.3367707479124987,40.18927564934152,0.728766223940657,-74.2798936814488,0.1828555573925964,0.5779813142958276
cerebellum.CerebNet_Cbm_Right_VIIIa,95,190,-55.17647830895327,0.18274443149236053,142.98764383582554,0.03502577380361746,-58.76801585594403,0.1842255512952875,0.5779813142958276
aseg+DKT_ctx-lh-precuneus,95,190,-32.17387446543222,0.339154924546486,237.73212720350276,0.0022781769356516914,-47.73286667509382,0.18452871320540654,0.5779813142958276
aseg+DKT_Right-Cerebellum-Cortex,95,190,-68.34709321584832,0.3674413449163678,328.1005847822441,0.4713468872933605,-106.22722561660969,0.18984984422505025,0.5779813142958276
cerebellum.CerebNet_Cbm_Left_VIIIa,95,190,26.765305264688187,0.4805516870275285,58.218979993435084,0.3450841761475836,-52.93341077838377,0.19175267911012217,0.5779813142958276
cerebellum.CerebNet_Right-Cerebellum-White-Matter,95,190,-10.63194606753448,0.8259418514012725,128.09971196959722,0.19075713236912795,-67.30402075913891,0.19270103273098615,0.5779813142958276
aseg+DKT_ctx-lh-isthmuscingulate,95,190,-4.073513556433428,0.7485652428834089,35.980734874157605,0.28609478669683097,-17.641786441568318,0.193950122383165,0.5779813142958276
aseg+DKT_Left-Hippocampus,95,190,22.951337744619032,0.029020439578481858,-25.652240197817935,0.4531759521201518,-14.591179736074064,0.19400771388950855,0.5779813142958276
aseg+DKT_ctx-rh-lateraloccipital,95,190,-100.76392556497731,0.03136160031319591,27.998047463798443,0.8362856048160783,-62.89978059431889,0.20864318495466205,0.6088974581329933
aseg+DKT_ctx-lh-fusiform,95,190,4.082067526869834,0.899984612392153,9.621834968521739,0.9047758247855567,-40.818987822952984,0.23959538397460312,0.6836967694881985
aseg+DKT_ctx-lh-parsorbitalis,95,190,-50.00436490754677,1.9634151762412105e-05,53.559416141669494,0.058397661144308166,-14.588825193551019,0.24383591079649036,0.6836967694881985
aseg+DKT_ctx-rh-isthmuscingulate,95,190,-3.5378529738743256,0.7583821337150779,55.89995413466729,0.05577374668726186,-14.08524407327985,0.25180433779356426,0.6924619289323017
cerebellum.CerebNet_Cbm_Vermis_X,95,190,2.3344818793775213,0.4285592774370195,4.71739911534058,0.4113643719522573,-3.5586094622589823,0.2588070421382095,0.6982906985993199
aseg+DKT_ctx-lh-superiortemporal,95,190,-61.58136915195849,0.13454532423533716,-115.28750777225977,0.34311933121093874,-48.41244366435644,0.2709669277547968,0.7175605679432583
cerebellum.CerebNet_Left-Cerebellum-White-Matter,95,190,2.086389729548215,0.9597468704119712,119.0508265762539,0.23027081828694196,-47.4197571487672,0.2830907169749811,0.7266435179868891
aseg+DKT_ctx-lh-postcentral,95,190,-21.431249071206043,0.502759080780799,140.58329348723626,0.12134216326644127,36.505395246093435,0.2854367037122878,0.7266435179868891
cerebellum.CerebNet_Cbm_Right_VI,95,190,3.6906231012254853,0.931742594367135,-0.10439432149199498,0.9989782974328149,-47.97908073762336,0.2974419358574748,0.7266435179868891
aseg+DKT_Right-Inf-Lat-Vent,95,190,-1.3651682936308098,0.802557773276317,-12.616933966155374,0.41455883312255715,6.075428706115919,0.2977553647984924,0.7266435179868891
aseg+DKT_ctx-rh-caudalanteriorcingulate,95,190,18.42408612180142,0.04858951384647333,22.946622981902845,0.591357989962588,10.350457191798366,0.2998039689596256,0.7266435179868891
aseg+DKT_Left-Inf-Lat-Vent,95,190,1.7438735741265758,0.7013717273731611,-15.363651144254243,0.3710897753215818,4.9284113070003555,0.3105108417623924,0.7400508395337019
