cohort,id,vwrec,PC1_pre,PC1_post,PC1_delta,structure
1,109,13,-1.6689703521890256,-2.863884312954436,-1.1949139607654102,Hippocampus
1,115,15,-3.4102421664438713,1.64564062244625,5.055882788890122,Hippocampus
1,117,15,-4.373501907416032,-0.9814284514280543,3.392073455987978,Hippocampus
1,121,15,0.3013244642594412,-5.240195731570564,-5.541520195830005,Hippocampus
1,122,14,-1.3918885479082446,-0.5318804287935507,0.8600081191146939,Hippocampus
1,124,15,-3.03743002517657,-1.2493116676175142,1.7881183575590556,Hippocampus
1,125,13,-3.741590785780623,-5.643463342216439,-1.9018725564358157,Hippocampus
1,126,13,0.26140059807723054,1.9074068560539097,1.6460062579766792,Hippocampus
1,127,14,-2.00631828664091,-3.41613924441455,-1.4098209577736402,Hippocampus
1,128,14,4.235984048087296,1.5755125064122848,-2.6604715416750113,Hippocampus
1,129,15,4.05818502311583,1.4479817985939636,-2.6102032245218663,Hippocampus
1,130,15,2.384111418911231,1.6124146961299965,-0.7716967227812344,Hippocampus
1,137,10,-3.956324260738508,-5.031813242360775,-1.0754889816222666,Hippocampus
1,138,14,1.1244135786403724,-0.12314194355196893,-1.2475555221923413,Hippocampus
1,139,15,0.34311552368207787,-0.332808479587547,-0.6759240032696249,Hippocampus
1,148,13,-1.8864721748504105,2.4464249995612266,4.332897174411637,Hippocampus
1,150,15,1.8470911668810723,1.7870502639805792,-0.06004090290049313,Hippocampus
1,155,13,-1.3755412085171603,-0.8943924341531688,0.4811487743639915,Hippocampus
1,157,14,3.1770084864876114,0.4656295891115666,-2.711378897376045,Hippocampus
1,159,15,5.881011559928288,5.65874382273093,-0.22226773719735782,Hippocampus
1,160,15,0.27002207015347773,-2.5897178385574726,-2.8597399087109503,Hippocampus
1,163,15,-0.7394742294870331,3.1356060090900373,3.8750802385770706,Hippocampus
1,164,15,2.6657197135529382,0.420035911811913,-2.245683801741025,Hippocampus
1,167,15,2.3565084847940945,1.437467034432248,-0.9190414503618465,Hippocampus
1,175,15,-10.593749026474306,-0.39379253501154804,10.199956491462759,Hippocampus
1,176,15,-0.9803861744681645,-0.8284800914757122,0.15190608299245223,Hippocampus
1,178,13,-4.879200952827883,-4.437125278176557,0.4420756746513259,Hippocampus
1,179,15,-0.4928138244399212,-2.2876516968520413,-1.7948378724121201,Hippocampus
1,182,15,-2.1578821704312716,0.19253572907781794,2.3504178995090896,Hippocampus
1,183,13,1.6876093874440456,-8.711673497735818,-10.399282885179863,Hippocampus
1,184,15,4.026434092355317,3.360665755291099,-0.6657683370642182,Hippocampus
1,186,14,8.51074610131482,5.0374879437063855,-3.473258157608435,Hippocampus
1,187,14,1.0547336384105817,-3.0779668098574846,-4.132700448268066,Hippocampus
1,188,14,2.2040956346198133,0.7547262748077492,-1.449369359812064,Hippocampus
1,189,15,-0.39749380801363887,1.077728831377857,1.4752226393914958,Hippocampus
1,190,14,-3.2133411217894206,-2.7418298570753388,0.4715112647140818,Hippocampus
1,191,15,4.148772055346884,2.259152356693017,-1.8896196986538665,Hippocampus
1,192,15,0.04756073286976045,0.6588918736761004,0.6113311408063399,Hippocampus
1,194,14,0.35646410920936605,0.5178664277427586,0.16140231853339254,Hippocampus
1,200,13,-1.5076258061192604,0.5457314211555057,2.053357227274766,Hippocampus
1,201,15,-2.0917763431161935,-2.665429331129081,-0.5736529880128876,Hippocampus
1,204,13,-2.6565014953247115,-1.012843860424945,1.6436576348997665,Hippocampus
1,205,15,-2.8244850896523714,-10.319241657386044,-7.494756567733672,Hippocampus
1,208,14,-2.7900467935688047,-0.41624809665596063,2.373798696912844,Hippocampus
1,209,15,-1.8197906179115935,-1.4526101932466602,0.3671804246649333,Hippocampus
1,210,14,1.3571719781251936,5.300927614357489,3.9437556362322956,Hippocampus
1,213,12,4.995619069562623,-1.0150981021372418,-6.010717171699865,Hippocampus
1,215,13,2.3078748760515566,2.8202890287146256,0.512414152663069,Hippocampus
1,216,15,1.4459205958094525,-1.5456023695456595,-2.991522965355112,Hippocampus
1,221,15,3.5384906432278145,7.714999582032938,4.1765089388051235,Hippocampus
1,223,11,-1.7048946499822628,6.457748796729856,8.162643446712119,Hippocampus
1,225,14,3.5029662973944315,7.65858288413327,4.155616586738838,Hippocampus
1,227,15,3.9603008904464008,0.7339186719515062,-3.2263822184948947,Hippocampus
1,229,12,0.7032007774412925,-0.37252680808884847,-1.075727585530141,Hippocampus
1,234,10,-1.2233183989277343,-0.517503515125087,0.7058148838026473,Hippocampus
1,235,11,-4.409111856606489,-3.9932133245201484,0.41589853208634064,Hippocampus
1,236,12,0.523967500791734,1.8599673152142477,1.3359998144225136,Hippocampus
1,237,15,-3.982297063598172,2.9773202893632,6.959617352961372,Hippocampus
1,238,11,9.201271617392425,9.109693179539374,-0.09157843785305175,Hippocampus
1,239,13,-2.100437533133084,3.5794050849409973,5.6798426180740815,Hippocampus
1,241,15,3.3676481179937796,1.375495163717542,-1.9921529542762375,Hippocampus
1,243,11,-3.0453319145472073,-0.7050708980268803,2.3402610165203273,Hippocampus
1,246,14,-3.6630515229649596,-1.9460426637652926,1.717008859199667,Hippocampus
1,248,15,6.886544331603283,7.582911487428713,0.6963671558254294,Hippocampus
1,249,11,1.6031757235230886,-3.4435487007989196,-5.046724424322008,Hippocampus
